,"short title, long title",primary_wg,score,share,ipcc_share,representation,Agricultural Sciences,Engineering and Technology,Humanities,Medical and Health Sciences,Natural Sciences,Social Sciences,top_words,topic_id
0,"emissions, emissions",3,2148.2293918209302,0.0583124552199007,0.0483999376931265,0.8300102870065521,0.11671337025966179,0.356264880303458,0.002950062348694939,0.005328289872212471,0.39338079664821857,0.1233683229931454,"['emission', 'greenhouse-gas', 'inventory', 'nox', 'reduce', 'estimate', 'total', 'factor', 'carbon-dioxide', 'pollutant']",170414
1,"in/de-crease, increase/decrease",2,1638.81849142789,0.0444847883837631,0.0515115852701521,1.1579595439629824,0.1235436896848331,0.17809343659075377,0.0025517403422785057,0.014110134719861318,0.6280788817198606,0.05239709164761659,"['increase', 'decrease', 'due', 'result', 'increased', 'lead', 'cause', 'significantly', 'decline', 'may']",170428
2,"indices, indices, correlation and relationships",2,734.869400528116,0.0199476085626255,0.0165577567638796,0.8300622459026371,0.09591775737159554,0.1805392901733416,0.0021246535864930254,0.013524132199891828,0.6373891462754204,0.06900389291654649,"['index', 'vulnerability', 'correlation', 'indicator', 'value', 'nao', 'ndvi', 'variable', 'relationship', 'analysis']",170408
3,"soil, soil moisture and organic matter",2,574.380258027154,0.0155912228009379,0.00625136630595531,0.4009542026157984,0.3562830176777139,0.07233383597155792,0.0010478528809152801,0.0016039751864572829,0.5544051198928408,0.014131444006229031,"['soil', 'moisture', 'content', 'microbial', 'organic', 'depth', 'som', 'property', 'tillage', 'organic-matter']",170410
4,"areas, analysis of areas (including protected areas)",2,439.02456094626,0.0119170700056921,0.009577414500455591,0.8036719173321134,0.09839880854594968,0.16688806790173516,0.004440478483772256,0.013838391770760952,0.6512209115588532,0.06405846037408344,"['area', 'study', 'high', 'map', 'coastal', 'protect', 'zone', 'protected', 'total', 'locate']",170536
5,"modelling, modelling & simulations",1,432.29425592467794,0.0117343797344941,0.0218645344356601,1.8632884677651635,0.07613192113144954,0.20178485388811923,0.002164142007103543,0.007966468237122718,0.6537241643669636,0.057148565409353085,"['model', 'simulation', 'simulate', 'use', 'prediction', 'predict', 'parameter', 'dynamic', 'couple', 'result']",170418
6,"global, global scale observations/analysis",1,412.027571562842,0.0111842522067706,0.025289080137625,2.2611328562776665,0.052897701289078274,0.15995288248522516,0.008065496136556742,0.014062678855459906,0.6577192189770943,0.10578570650161842,"['global', 'earth', 'world', 'atmospheric', 'estimate', 'terrestrial', 'mean', 'regional', 'climate-change', 'century']",170547
7,"spatial, spatial & scale effects & analysis",1,407.29533828865897,0.0110557984476229,0.0149418436730613,1.3514938558122809,0.07127485411302362,0.15315385005824292,0.003509922052076407,0.007374882643265445,0.7075489689772738,0.0564046912485813,"['scale', 'spatial', 'large', 'variability', 'temporal', 'regional', 'pattern', 'local', 'variation', 'time']",170540
8,"projects, CDM and other projects",2,394.60982269223604,0.0107114573996072,0.0136089974213209,1.2705084764487748,0.058590625881909754,0.27925037802746583,0.009080053151752459,0.008754503740419218,0.5211501810440445,0.12107725993383858,"['project', 'cdm', 'projection', 'future', 'development', 'century', 'cmip5', 'ensemble', 'construction', 'intercomparison']",170544
9,"concentrations, atmospheric & plant concentrations",1,387.272549174433,0.010512291316565999,0.0115422541823072,1.0979770094573114,0.1211972922340551,0.17598314122421765,0.001075880758619094,0.008185994447521688,0.6758331014037646,0.0171343760606094,"['concentration', 'doc', 'high', 'atmospheric', 'ppm', 'mol', 'low', 'dissolve', 'atmospheric-co2', 'sample']",170534
10,"time, long-term, short-term, dynamic effects",2,385.97655006630896,0.0104771121637971,0.0123441621750041,1.178202732014119,0.09204831661983506,0.1847213843324218,0.004645358793988628,0.009199817428612542,0.6251056166129694,0.08309108863247269,"['term', 'long', 'short', 'time', 'run', 'dynamic', 'may', 'variability', 'medium', 'causality']",170525
11,"CO2, CO2",1,376.94729819862,0.0102320182984918,0.00748824104716715,0.731843985098318,0.0841901422896186,0.3639983145611296,0.000726408273689044,0.002875042482046003,0.5275738158151849,0.019829278943900065,"['co2', 'mol', 'carbon-dioxide', 'ambient', 'ppm', 'atmosphere', 'atmospheric-co2', 'uptake', 'efflux', 'elevate']",170411
12,"methods, methods",1,373.56119309985496,0.0101401044169047,0.007505538594319309,0.7401835608129171,0.08199994902245272,0.29970505517576346,0.00419208008797563,0.014861284598264916,0.5300804650342105,0.0675737716656509,"['method', 'use', 'approach', 'analysis', 'estimate', 'technique', 'apply', 'base', 'sample', 'different']",170538
13,"carbon, carbon sources, sinks and flows",1,373.36549940381303,0.0101347924237206,0.00934687390996695,0.9222560777949907,0.10364379627040438,0.24878011032817732,0.0037736483727717233,0.0028321449152960225,0.5127448867288766,0.12666751664029136,"['carbon', 'low', 'sink', 'stock', 'net', 'carbon-emissions', 'economy', 'terrestrial', 'tax', 'store']",170433
14,"water, water resources",2,363.58839357026494,0.0098693984912711,0.00798294709638455,0.8088585239966747,0.09998292889515316,0.1967236598684331,0.0025288994106616434,0.006419514885606305,0.6489711881486773,0.04427410747163525,"['water', 'irrigation', 'resource', 'supply', 'demand', 'availability', 'quality', 'scarcity', 'use', 'vapor']",170413
15,"seasons, seasons & seasonal variation",1,358.881623421583,0.00974163591406665,0.0127877509740283,1.3126903003594237,0.09919197784360848,0.07142254057515408,0.002141856106087261,0.009740651244804811,0.7958810175265361,0.021087974282258372,"['winter', 'summer', 'spring', 'monsoon', 'seasonal', 'autumn', 'cold', 'northern', 'asian', 'warm']",170531
16,"reductions, emissions and demand reductions",3,349.923345472382,0.00949846859508801,0.0108411902912425,1.1413619135245503,0.07610931671826734,0.37303305889232086,0.004124828923072627,0.008354068892398737,0.41890255651449093,0.11684929146637232,"['reduction', 'reduce', 'target', 'achieve', 'potential', 'strategy', 'would', 'saving', 'could', 'iron']",170543
17,"records, long term climate & CO2 records",1,348.588787580961,0.009462242786253001,0.009275968908257909,0.9803139824032298,0.03968211491800454,0.05816980817551537,0.00991555944201526,0.006831187007266937,0.8499201299015274,0.03491103135046635,"['record', 'late', 'early', 'age', 'holocene', 'climatic', 'proxy', 'similar', 'basin', 'reconstruction']",170432
18,"surface, surface & albedo",1,343.99516990495204,0.009337551668046779,0.0148737762966171,1.5928989552491957,0.047788839691092905,0.14941781447514857,0.0016245992772007617,0.0028386754709044467,0.7830978253651654,0.0145338721475233,"['surface', 'layer', 'albedo', 'near', 'atmosphere', 'radiation', 'atmospheric', 'observation', 'moisture', 'earth']",170439
19,"countries, country analysis and comparisons",3,343.12738032924096,0.0093139960175345,0.0110404578504306,1.1853620969609464,0.0641308196423961,0.26693223148911865,0.006595507211600666,0.021787022579010315,0.35962765390185686,0.2781471986736038,"['country', 'develop', 'international', 'developed', 'trade', 'kyoto', 'national', 'world', 'protocol', 'income']",170530
20,"species, species",2,335.90446198882097,0.00911793404022131,0.0059272789463113,0.6500681974847269,0.10841615285983325,0.03367783570290911,0.001946245390975347,0.013007490494948105,0.8262844766147975,0.01655597736574662,"['specie', 'native', 'invasive', 'range', 'niche', 'abundance', 'extinction', 'bird', 'trait', 'invasion']",170412
21,"policy, policies & governments",3,328.544459685177,0.00891815099731925,0.00993191101344395,1.1136737891553339,0.05024127250224675,0.2521385062653393,0.007704747296193446,0.014899300999428653,0.3280116650202119,0.3444322992464306,"['policy', 'government', 'maker', 'national', 'instrument', 'mitigation', 'public', 'support', 'decision', 'target']",170518
22,"networks, networks and optimization",2,328.28463888812803,0.0089110983107436,0.00448572660802316,0.5033865020448688,0.043560527705684464,0.4284421789031062,0.007054301547186886,0.007187533194086921,0.3946842301411779,0.1157892771882202,"['network', 'design', 'problem', 'propose', 'optimization', 'algorithm', 'solution', 'optimal', 'objective', 'supply']",170537
23,"research, research agenda & sustainability science",2,328.077035508109,0.008905463036015979,0.008455558952999079,0.9494799898447309,0.059428397099180345,0.21291903137933063,0.024153149632529652,0.020173318732194974,0.43531256031062404,0.24488003865647248,"['research', 'science', 'issue', 'social', 'article', 'knowledge', 'challenge', 'review', 'scientific', 'paper']",170507
24,"environment, environmental impacts & conditions and LCAs",2,327.030395917933,0.00887705260439919,0.00746312461893928,0.8407210085970188,0.07453207540488964,0.3303509086279079,0.007413604502170304,0.014311454772641527,0.4522998767614727,0.11831620077116016,"['environmental', 'impact', 'life', 'cycle', 'assessment', 'lca', 'category', 'product', 'study', 'indicator']",170446
25,"habitats, habitats, conservation and biodiversity",2,326.573547547504,0.00886465171730382,0.00526689991151143,0.5941462879168089,0.08488451039050653,0.06292005621120403,0.004054259374442983,0.011084884998891181,0.788411887701328,0.04809248012373382,"['habitat', 'conservation', 'biodiversity', 'loss', 'suitable', 'bird', 'suitability', 'protect', 'threat', 'fragmentation']",170541
26,"temperature, temperature",1,324.091011173298,0.00879726469071168,0.0139551709533841,1.586307954121039,0.09442418402972697,0.15006062671786705,0.0014987517540014151,0.018163375783010235,0.7142760760612588,0.020911150426588632,"['temperature', 'warm', 'mean', 'thermal', 'maximum', 'minimum', 'high', 'cold', 'daily', 'variation']",170484
27,"technology, technology developement & carbon capture",3,323.258870010066,0.008774676695918221,0.00466229645829383,0.5313354121027187,0.04239216225371626,0.5261809293746958,0.006265745616238945,0.005745385938633627,0.28730687789571235,0.12964184204177645,"['technology', 'cc', 'development', 'new', 'innovation', 'technological', 'deployment', 'capture', 'carbon-capture', 'develop']",170528
28,"energy, energy",3,313.830655473116,0.008518753217688779,0.004078293480378629,0.4787430010192396,0.03923611476185456,0.5647083267730281,0.005996773641074177,0.0041032320915461796,0.26993808889167314,0.11282291413699871,"['energy', 'demand', 'source', 'saving', 'energy-consumption', 'renewable-energy', 'use', 'fossil', 'energy-efficiency', 'save']",170409
29,"processes, processes",2,311.154523064173,0.00844611113772602,0.0056887049641440295,0.6735294943887776,0.05873609024513238,0.3607422006079724,0.0043741389587594395,0.00571269521549054,0.5021912036948775,0.06573107506845723,"['process', 'chemical', 'base', 'design', 'dynamic', 'step', 'integration', 'capture', 'produce', 'industrial']",170515
30,"causality, attribution of effects",2,302.971623055702,0.008223991008409471,0.0119760688142971,1.4562356405850798,0.12424359315535026,0.17892143104235714,0.0031039534045019202,0.015844811376337708,0.5995284603137307,0.07730281077501075,"['effect', 'affect', 'interaction', 'study', 'negative', 'factor', 'positive', 'indirect', 'direct', 'result']",170431
31,"CLC, chemical looping combustion (CLC)",1,302.169758535369,0.00820222485572932,0.00158814386061877,0.1936235458735856,0.03557541985833806,0.5127163559740525,0.0012545001081531303,0.004689968281714631,0.42673520625551725,0.017448097090804172,"['oxygen', 'reaction', 'reactor', 'sorbent', 'catalyst', 'combustion', 'carrier', 'bed', 'conversion', 'cao']",170542
32,"growing seasons, growing seasons",2,299.728510591339,0.008135958579902859,0.008297813160806371,1.019893732166154,0.16566542432982248,0.10473707283835275,0.00214728757866694,0.016019696747589317,0.6816885138336412,0.02922505530905785,"['season', 'day', 'grow', 'dry', 'phenology', 'seasonal', 'wet', 'phenological', 'spring', 'date']",170535
33,"production, economic, agricultural and biological production",2,296.73318469952005,0.00805465217584717,0.00579176896521909,0.7190588542837884,0.18665687559677913,0.3063104877890629,0.002917582309847217,0.006776028310335142,0.43240421463833356,0.06256542315693663,"['production', 'primary', 'produce', 'ethanol', 'biofuel', 'biofuels', 'product', 'agricultural', 'feedstock', 'net']",170517
34,"climate, climate sensitivity, risks and projections",1,293.578728279563,0.00796902626483775,0.0223809953205428,2.8084981247076466,0.07360522827826428,0.0988114175277451,0.0071975437129054316,0.011206529596956128,0.728502035560558,0.07974898273642993,"['climate', 'future', 'warm', 'projection', 'regional', 'feedback', 'impact', 'warming', 'sensitivity', 'response']",170481
35,"yields, (grain) yields",2,287.267975383747,0.0077977244955564,0.00627855249588992,0.8051775231951073,0.36206092828192926,0.1266428347387215,0.0016674418885422528,0.005085488968768034,0.4716647376374825,0.03225461981598203,"['yield', 'wheat', 'grain', 'maize', 'cultivar', 'seed', 'high', 'soybean', 'variety', 'corn']",170520
36,"forests, forests",2,284.967840466474,0.00773528865193845,0.0062293459291999295,0.8053152518928776,0.25959126053090825,0.07893103926404296,0.0019284120024093442,0.002920171739881532,0.6138039241127342,0.04243368793520291,"['forest', 'stand', 'tropical', 'deforestation', 'stock', 'disturbance', 'redd', 'timber', 'wood', 'canopy']",170415
